# ISO 639-3 language codes used by chatter.
#
# Source: the ISO 639-3 code tables published by iso639-3.sil.org, the ISO
# registration authority for the standard. This file is a DERIVED product:
# it carries the identifiers chatter needs and nothing else, and it is not
# the code tables. The identifiers themselves are unmodified.
#
# Release: 20260715
# Generated by: scripts/update_iso639_3.py (re-run it when a new release
# appears; never hand-edit this file).
#
# Columns: code<TAB>status<TAB>change_to
#   current      assigned today.
#   retired      no longer assigned, still VALID here because a CHAT file is
#                a historical document; change_to names its replacement.
#   private_use  qaa..qtz, reserved by the standard for local use.
#
# Totals: 7927 current, 388 retired, 520 private use, 8835 in all.
crd	current	
cre	current	
crf	current	
crg	current	
crh	current	
cri	current	
crj	current	
crk	current	
crl	current	
crm	current	
crn	current	
cro	current	
crq	current	
crr	current	
crs	current	
crt	current	
cru	retired	bwi
crv	current	
crw	current	
crx	current	
cry	current	
crz	current	
csa	current	
csb	current	
csc	current	
csd	current	
cse	current	
csf	current	
csg	current	
csh	current	
csi	current	
csj	current	
csk	current	
csl	current	
csm	current	
csn	current	
cso	current	
csp	current	
csq	current	
csr	current	
css	current	
cst	current	
csv	current	
csw	current	
csx	current	
csy	current	
csz	current	
cta	current	
ctc	current	
ctd	current	
cte	current	
ctg	current	
cth	current	
cti	retired	ctu
ctl	current	
ctm	current	
ctn	current	
cto	current	
ctp	current	
cts	current	
ctt	current	
ctu	current	
cty	current	
ctz	current	
cua	current	
cub	current	
cuc	current	
cug	retired	
cuh	current	
cui	current	
cuj	current	
cuk	current	
cul	current	
cum	retired	
cun	retired	quc
cuo	current	
cup	current	
cuq	current	
cur	current	
cut	current	
cuu	current	
cuv	current	
cuw	current	
cux	current	
cuy	current	
cvg	current	
cvn	current	
cwa	current	
cwb	current	
cwd	current	
cwe	current	
cwg	current	
cwt	current	
cxh	current	
cya	current	
cyb	current	
cym	current	
cyo	current	
czh	current	
czk	current	
czn	current	
czo	current	
czt	current	
daa	current	
dac	current	
dad	current	
dae	current	
daf	retired	
dag	current	
dah	current	
dai	current	
daj	current	
dak	current	
dal	current	
dam	current	
dan	current	
dao	current	
dap	retired	
daq	current	
dar	current	
das	current	
dat	retired	mhu
dau	current	
dav	current	
daw	current	
dax	current	
daz	current	
dba	current	
dbb	current	
dbd	current	
dbe	current	
dbf	current	
dbg	current	
dbi	current	
dbj	current	
dbl	current	
dbm	current	
dbn	current	
dbo	current	
dbp	current	
dbq	current	
dbr	current	
dbt	current	
dbu	current	
dbv	current	
dbw	current	
dby	current	
dcc	current	
dcr	current	
dda	current	
ddd	current	
dde	current	
ddg	current	
ddi	current	
ddj	current	
ddn	current	
ddo	current	
ddr	current	
dds	current	
ddw	current	
dec	current	
ded	current	
dee	current	
def	current	
deg	current	
deh	current	
dei	current	
dek	retired	sqm
del	current	
dem	current	
den	current	
dep	current	
deq	current	
der	current	
des	current	
deu	current	
dev	current	
dez	current	
dga	current	
dgb	current	
dgc	current	
dgd	current	
dge	current	
dgg	current	
dgh	current	
dgi	current	
dgk	current	
dgl	current	
dgn	current	
dgo	current	
dgr	current	
dgs	current	
dgt	current	
dgu	retired	
dgw	current	
dgx	current	
dgz	current	
dha	retired	
dhd	current	
dhg	current	
dhi	current	
dhl	current	
dhm	current	
dhn	current	
dho	current	
dhr	current	
dhs	current	
dhu	current	
dhv	current	
dhw	current	
dhx	current	
dia	current	
dib	current	
dic	current	
did	current	
dif	current	
dig	current	
dih	current	
dii	current	
dij	current	
dik	current	
dil	current	
dim	current	
din	current	
dio	current	
dip	current	
diq	current	
dir	current	
dis	current	
dit	retired	dif
diu	current	
div	current	
diw	current	
dix	current	
diy	current	
diz	current	
dja	current	
djb	current	
djc	current	
djd	current	
dje	current	
djf	current	
dji	current	
djj	current	
djk	current	
djl	retired	
djm	current	
djn	current	
djo	current	
djr	current	
dju	current	
djw	current	
dka	current	
dkg	current	
dkk	current	
dkl	retired	
dkr	current	
dks	current	
dkx	current	
dlg	current	
dlk	current	
dlm	current	
dln	current	
dma	current	
dmb	current	
dmc	current	
dmd	current	
dme	current	
dmf	current	
dmg	current	
dmk	current	
dml	current	
dmm	current	
dmo	current	
dmr	current	
dms	current	
dmu	current	
dmv	current	
dmw	current	
dmx	current	
dmy	current	
dna	current	
dnd	current	
dne	current	
dng	current	
dni	current	
dnj	current	
dnk	current	
dnn	current	
dno	current	
dnr	current	
dnt	current	
dnu	current	
dnv	current	
dnw	current	
dny	current	
doa	current	
dob	current	
doc	current	
doe	current	
dof	current	
doh	current	
doi	current	
dok	current	
dol	current	
don	current	
doo	current	
dop	current	
doq	current	
dor	current	
dos	current	
dot	current	
dov	current	
dow	current	
dox	current	
doy	current	
doz	current	
dpp	current	
drb	current	
drc	current	
drd	current	
dre	current	
drg	current	
drh	retired	khk
dri	current	
drl	current	
drn	current	
dro	current	
drq	current	
drr	retired	kzk
drs	current	
drt	current	
dru	current	
drw	retired	prs
dry	current	
dsb	current	
dse	current	
dsh	current	
dsi	current	
dsk	current	
dsl	current	
dsn	current	
dso	current	
dsq	current	
dsz	current	
dta	current	
dtb	current	
dtd	current	
dth	current	
dti	current	
dtk	current	
dtm	current	
dtn	current	
dto	current	
dtp	current	
dtr	current	
dts	current	
dtt	current	
dtu	current	
dty	current	
dua	current	
dub	current	
duc	current	
dud	retired	
due	current	
duf	current	
dug	current	
duh	current	
dui	current	
duj	retired	
duk	current	
dul	current	
dum	current	
dun	current	
duo	current	
